[2025-07-04 16:44:47,203] INFO _log() L225   * Restarting with stat - call_trace=D:\Fernando\Ensino\Pos PUC Rio\Sprint 1\MVP\Back\venv\lib\site-packages\werkzeug\_internal.py L225 
[2025-07-04 17:16:48,403] WARNING add_invoice() L231  Fatura 123 da empresa de CNPJ 123 já cadastrado! - call_trace=D:\Fernando\Ensino\Pos PUC Rio\Sprint 1\MVP\Back\app.py L231 
[2025-07-04 17:17:15,288] WARNING get_invoice_by_number() L292  Erro ao buscar fatura '423', fatura não encontrado na base :/ - call_trace=D:\Fernando\Ensino\Pos PUC Rio\Sprint 1\MVP\Back\app.py L292 
[2025-07-04 17:27:25,170] WARNING add_company() L57   CNPJ 123 já cadastrado! - call_trace=D:\Fernando\Ensino\Pos PUC Rio\Sprint 1\MVP\Back\app.py L57  
[2025-07-04 22:28:31,842] INFO _log() L225   * Restarting with stat - call_trace=D:\Fernando\Ensino\Pos PUC Rio\Sprint 1\MVP\Back\venv\lib\site-packages\werkzeug\_internal.py L225 
[2025-07-04 22:29:59,624] WARNING add_invoice() L231  Fatura 123 da empresa de CNPJ 123 já cadastrado! - call_trace=D:\Fernando\Ensino\Pos PUC Rio\Sprint 1\MVP\Back\app.py L231 
[2025-07-04 22:49:51,164] WARNING del_invoice() L353  Fatura 123 não encontrada! - call_trace=D:\Fernando\Ensino\Pos PUC Rio\Sprint 1\MVP\Back\app.py L353 
[2025-07-04 23:38:10,454] WARNING del_invoice() L353  Fatura 123 não encontrada! - call_trace=D:\Fernando\Ensino\Pos PUC Rio\Sprint 1\MVP\Back\app.py L353 
[2025-07-04 23:38:42,577] WARNING del_invoice() L353  Fatura 123 não encontrada! - call_trace=D:\Fernando\Ensino\Pos PUC Rio\Sprint 1\MVP\Back\app.py L353 
[2025-07-04 23:38:56,385] WARNING del_invoice() L353  Fatura 123 não encontrada! - call_trace=D:\Fernando\Ensino\Pos PUC Rio\Sprint 1\MVP\Back\app.py L353 
[2025-07-04 23:39:34,368] WARNING add_invoice() L220  Empresa de CNPJ 558 não cadastrada! Por favor cadastre-a primeiro - call_trace=D:\Fernando\Ensino\Pos PUC Rio\Sprint 1\MVP\Back\app.py L220 
[2025-07-04 23:39:37,552] WARNING add_invoice() L220  Empresa de CNPJ 558 não cadastrada! Por favor cadastre-a primeiro - call_trace=D:\Fernando\Ensino\Pos PUC Rio\Sprint 1\MVP\Back\app.py L220 
[2025-07-04 23:40:03,215] WARNING del_invoice() L353  Fatura 555 não encontrada! - call_trace=D:\Fernando\Ensino\Pos PUC Rio\Sprint 1\MVP\Back\app.py L353 
[2025-07-04 23:41:37,972] WARNING del_invoice() L353  Fatura 555 não encontrada! - call_trace=D:\Fernando\Ensino\Pos PUC Rio\Sprint 1\MVP\Back\app.py L353 
[2025-07-04 23:42:30,683] INFO _log() L225   * Restarting with stat - call_trace=D:\Fernando\Ensino\Pos PUC Rio\Sprint 1\MVP\Back\venv\lib\site-packages\werkzeug\_internal.py L225 
[2025-07-04 23:42:35,872] WARNING del_invoice() L353  Fatura 555 de CNPJ 12.345.678/0001-90 não encontrada! - call_trace=D:\Fernando\Ensino\Pos PUC Rio\Sprint 1\MVP\Back\app.py L353 
[2025-07-04 23:57:40,300] WARNING del_invoice() L353  Fatura 240615-001 de CNPJ 12.345.678/0001-90 não encontrada! - call_trace=D:\Fernando\Ensino\Pos PUC Rio\Sprint 1\MVP\Back\app.py L353 
[2025-07-04 23:57:55,534] WARNING del_invoice() L353  Fatura 240615-001 de CNPJ 12.345.678/0001-90 não encontrada! - call_trace=D:\Fernando\Ensino\Pos PUC Rio\Sprint 1\MVP\Back\app.py L353 
[2025-07-04 23:58:58,220] WARNING del_invoice() L353  Fatura 240615-001 de CNPJ 12.345.678/0001-90 não encontrada! - call_trace=D:\Fernando\Ensino\Pos PUC Rio\Sprint 1\MVP\Back\app.py L353 
[2025-07-04 23:59:53,658] WARNING del_invoice() L353  Fatura 240615-001 de CNPJ 12.345.678/0001-90 não encontrada! - call_trace=D:\Fernando\Ensino\Pos PUC Rio\Sprint 1\MVP\Back\app.py L353 
[2025-07-05 00:08:36,279] WARNING get_invoice_by_number() L292  Erro ao buscar fatura '423', fatura não encontrado na base :/ - call_trace=D:\Fernando\Ensino\Pos PUC Rio\Sprint 1\MVP\Back\app.py L292 
[2025-07-05 00:16:52,739] WARNING del_company() L162  Empresa com CNPJ 124 com faturas na base de dados. Deletar as faturas primeiro para poder deletar a empresa. - call_trace=D:\Fernando\Ensino\Pos PUC Rio\Sprint 1\MVP\Back\app.py L162 
[2025-07-05 00:16:56,616] WARNING del_company() L162  Empresa com CNPJ 124 com faturas na base de dados. Deletar as faturas primeiro para poder deletar a empresa. - call_trace=D:\Fernando\Ensino\Pos PUC Rio\Sprint 1\MVP\Back\app.py L162 
